Dimension,NNZ_per_row,Sparsity,Raw_Time
738,74,0.1,0.00333187,
739,74,0.1,0.00319582,
740,74,0.1,0.00341067,
741,75,0.1,0.00328746,
742,75,0.1,0.00327981,
743,75,0.1,0.00330529,
744,75,0.1,0.00328276,
745,75,0.1,0.00342043,
746,75,0.1,0.00417315,
747,75,0.1,0.00434943,
748,75,0.1,0.00331668,
749,75,0.1,0.00333113,
750,75,0.1,0.00330522,
751,76,0.1,0.00341304,
752,76,0.1,0.00343092,
753,76,0.1,0.00339852,
754,76,0.1,0.00342719,
755,76,0.1,0.00341597,
756,76,0.1,0.00344417,
757,76,0.1,0.00343925,
758,76,0.1,0.00344824,
759,76,0.1,0.00344995,
760,76,0.1,0.00380935,
761,77,0.1,0.00356106,
762,77,0.1,0.00356499,
763,77,0.1,0.00355685,
764,77,0.1,0.00357507,
765,77,0.1,0.00355936,
766,77,0.1,0.00357317,
767,77,0.1,0.00381971,
768,77,0.1,0.00396388,
769,77,0.1,0.00361666,
770,77,0.1,0.00358959,
771,78,0.1,0.0036833,
772,78,0.1,0.00366156,
773,78,0.1,0.00409023,
774,78,0.1,0.003707,
775,78,0.1,0.00369847,
776,78,0.1,0.0040284,
777,78,0.1,0.00370683,
778,78,0.1,0.00372598,
779,78,0.1,0.00372106,
780,78,0.1,0.00372584,
781,79,0.1,0.003933,
782,79,0.1,0.0043445,
783,79,0.1,0.00382295,
784,79,0.1,0.0040867,
785,79,0.1,0.0038614,
786,79,0.1,0.00405843,
787,79,0.1,0.00383894,
788,79,0.1,0.00385469,
789,79,0.1,0.00386134,
790,79,0.1,0.00385664,
791,80,0.1,0.00401243,
792,80,0.1,0.0040045,
793,80,0.1,0.00397985,
794,80,0.1,0.00397416,
795,80,0.1,0.00450986,
796,80,0.1,0.00401049,
797,80,0.1,0.00399338,
798,80,0.1,0.00426119,
799,80,0.1,0.004032,
800,80,0.1,0.00401575,
801,81,0.1,0.00411335,
802,81,0.1,0.00411241,
803,81,0.1,0.00409869,
804,81,0.1,0.00408704,
805,81,0.1,0.00419151,
806,81,0.1,0.00438693,
807,81,0.1,0.00412541,
808,81,0.1,0.00443831,
809,81,0.1,0.00416337,
810,81,0.1,0.00421721,
