Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14,Unzipper_Time24,Unzipper_Time25,Unzipper_Time33,Unzipper_Time34,Unzipper_Time35
2336,10,5,0.0499747,0.04782,0.0506215,0.0483866,0.0494703,0.0496648,1.00443,1.00885,0.547269,0.0468034,0.0452823
2976,10,5,0.100345,0.100063,0.104071,0.0980465,0.0973057,0.100234,2.05564,2.06693,1.10319,0.0962646,0.0911049
3793,10,5,0.207603,0.198333,0.212251,0.200205,0.199863,0.209662,4.23495,4.25299,2.2612,0.19947,0.189375
4833,10,5,0.430801,0.407192,0.436973,0.407897,0.409939,0.429611,8.72362,8.77347,4.62616,0.41213,0.387729
6158,10,5,0.886822,0.836097,0.900814,0.838138,0.824647,0.875916,18.0123,18.3418,9.49258,0.850783,0.791114
7848,10,5,1.80659,1.69537,1.82775,1.68742,1.6898,1.80697,38.8176,40.6386,19.6082,1.7998,1.63931
10000,10,5,3.79965,3.50426,3.85065,3.5303,3.5335,3.85406,85.8185,90.235,41.1416,3.77403,3.38811
100,10,10,1.2472e-05,1.1605e-05,1.3068e-05,1.1668e-05,1.0923e-05,1.4536e-05,0.000120262,0.000126897,0.000123856,1.2303e-05,1.4257e-05
127,10,10,2.2854e-05,1.9535e-05,2.4871e-05,2.0569e-05,1.9673e-05,4.2835e-05,0.000223662,0.000242792,0.000344757,2.2697e-05,1.9382e-05
162,10,10,7.3506e-05,4.4659e-05,4.8762e-05,4.8457e-05,3.9451e-05,5.2578e-05,0.00047176,0.000625532,0.00049758,4.8402e-05,6.342e-05
207,10,10,9.224e-05,8.4362e-05,0.000100662,9.098e-05,7.6304e-05,9.2946e-05,0.00104876,0.0010703,0.00138931,8.6148e-05,8.8697e-05
264,10,10,0.000179494,0.00017136,0.000333704,0.000182846,0.0001743,0.00030668,0.00206442,0.00231023,0.00361326,0.000182875,0.000185234
336,10,10,0.000335438,0.000576883,0.000608167,0.000345333,0.000332217,0.000334844,0.00396753,0.00436868,0.0044765,0.00034096,0.000335228
428,10,10,0.000645123,0.000630828,0.000668237,0.000677305,0.000627593,0.000637505,0.00769188,0.00778396,0.00770627,0.000670831,0.000649733
546,10,10,0.00128842,0.00126003,0.00135139,0.00130581,0.00127161,0.00128978,0.0161955,0.0164122,0.0153642,0.00131427,0.00128861
695,10,10,0.00270746,0.00300822,0.00267285,0.00260322,0.00250753,0.0025832,0.0308529,0.030605,0.0306972,0.00274529,0.00289597
886,10,10,0.00517447,0.0052132,0.0053229,0.00517452,0.0050396,0.00513987,0.0615738,0.0617166,0.0627167,0.00579869,0.00514023
1129,10,10,0.0104142,0.0101229,0.0108488,0.0103084,0.0101084,0.0104213,0.124243,0.123341,0.124294,0.0106123,0.0117012
1438,10,10,0.0214532,0.0209347,0.0217321,0.0213207,0.021518,0.0213212,0.250988,0.251319,0.252682,0.0216832,0.0226612
1833,10,10,0.0441096,0.0425155,0.0445241,0.0431985,0.0436553,0.0438151,0.511441,0.513815,0.515103,0.0444987,0.043821
2336,10,10,0.0915558,0.0876882,0.0924695,0.0878806,0.0884785,0.0915195,1.04777,1.05482,1.05221,0.092899,0.0896041
2976,10,10,0.190362,0.179823,0.192051,0.180438,0.180886,0.18898,2.14638,2.16017,2.15648,0.192351,0.183191
3793,10,10,0.394013,0.369641,0.397886,0.369946,0.370455,0.394121,4.40593,4.35957,4.36079,0.392525,0.374704
4833,10,10,0.813068,0.759198,0.820198,0.761326,0.76319,0.813029,8.91332,9.01765,8.95701,0.825994,0.771652
6158,10,10,1.70369,1.59188,1.71521,1.59868,1.59525,1.69975,18.905,19.4913,18.8863,1.69874,1.56425
7848,10,10,3.612,3.29181,3.64874,3.29045,3.28879,3.61339,39.7511,42.2743,40.3264,3.60775,3.29539
10000,10,10,7.59018,6.79769,7.60829,6.79066,6.80369,7.58832,90.936,90.6074,90.1129,7.49701,6.78094
100,10,25,2.3199e-05,2.2519e-05,2.3786e-05,4.2236e-05,2.2841e-05,2.2865e-05,0.000136117,0.000139133,0.000298203,3.2678e-05,2.4905e-05
127,10,25,4.5075e-05,4.2783e-05,5.1118e-05,4.685e-05,4.3665e-05,4.3095e-05,0.000250517,0.000256772,0.000570784,5.9978e-05,5.0853e-05
