Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14
546,10,50,0.00466455,0.00455976,0.00461551,0.00444313,0.00459078,0.00446294,
695,10,50,0.00962501,0.00895166,0.00943223,0.00904539,0.00911375,0.00914306,
886,10,50,0.0192892,0.0185766,0.0192328,0.0185868,0.0185779,0.0187136,
1129,10,50,0.0401274,0.0383925,0.0398329,0.0384597,0.0389398,0.039122,
1438,10,50,0.0840201,0.0789691,0.0849252,0.0789248,0.0796453,0.0830492,
1833,10,50,0.177202,0.163843,0.176934,0.164108,0.165308,0.174173,
2336,10,50,0.36518,0.338567,0.36543,0.338504,0.341256,0.360621,
2976,10,50,0.755716,0.702221,0.758516,0.702331,0.711373,0.749304,
3793,10,50,1.59274,1.45518,1.59589,1.45304,1.4689,1.5777,
4833,10,50,3.35518,3.01396,3.36742,3.00437,3.02288,3.3368,
6158,10,50,7.04247,6.22623,7.0658,6.20364,6.26047,6.9007,
7848,10,50,14.7492,12.8592,14.6413,12.8458,12.9267,14.7319,
10000,10,50,30.7606,26.6089,30.7881,26.5702,26.7305,30.6529,
100,25,5,2.2076e-05,1.4942e-05,2.5002e-05,1.7762e-05,1.7375e-05,3.0364e-05,
127,25,5,5.3345e-05,3.1387e-05,4.6027e-05,3.5638e-05,2.878e-05,8.3336e-05,
162,25,5,0.000108809,5.6722e-05,8.5507e-05,6.9781e-05,5.6335e-05,0.000100629,
207,25,5,0.000137744,0.000106998,0.00015528,0.000119688,0.000103642,0.000177304,
264,25,5,0.000255089,0.000208675,0.000477136,0.000242048,0.000202502,0.000311717,
336,25,5,0.000474131,0.000433714,0.000514296,0.000496738,0.000383484,0.000899837,
428,25,5,0.00106554,0.00171956,0.00113674,0.00105878,0.00101813,0.00106088,
546,25,5,0.00236659,0.00282243,0.00214569,0.0024888,0.00201888,0.00201844,
695,25,5,0.00455724,0.00388325,0.00414024,0.00400489,0.00425877,0.00387466,
886,25,5,0.00771338,0.00750368,0.00847227,0.00785015,0.00788485,0.00764415,
1129,25,5,0.0154436,0.0147916,0.0167164,0.015787,0.0149918,0.0150842,
1438,25,5,0.030494,0.0305093,0.0309174,0.0302725,0.0303065,0.0306424,
1833,25,5,0.0627113,0.0605129,0.0628174,0.0617792,0.0630888,0.0626026,
2336,25,5,0.125749,0.121008,0.126259,0.123272,0.122767,0.124428,
2976,25,5,0.254841,0.249712,0.258249,0.249256,0.249829,0.253501,
3793,25,5,0.519955,0.50596,0.531435,0.506675,0.502924,0.524442,
4833,25,5,1.07579,1.02956,1.08828,1.02931,1.02817,1.07645,
6158,25,5,2.21247,2.10308,2.23617,2.1048,2.09903,2.21368,
7848,25,5,4.54759,4.31572,4.59704,4.31778,4.32141,4.55178,
10000,25,5,9.5546,8.88723,9.63849,8.85502,8.86564,9.55155,
100,25,10,2.9606e-05,2.611e-05,3.2275e-05,2.8175e-05,2.3768e-05,3.8356e-05,
127,25,10,6.7589e-05,7.4611e-05,6.3797e-05,5.4805e-05,5.1158e-05,7.0448e-05,
162,25,10,0.000113638,0.000107877,0.00012153,0.000123434,0.000149951,0.000134308,
207,25,10,0.000242834,0.000373301,0.000257509,0.000233918,0.000193184,0.000236992,
264,25,10,0.000461201,0.000726298,0.000486604,0.000461173,0.000448887,0.000453438,
336,25,10,0.0013141,0.000837829,0.000902925,0.000892688,0.000843527,0.00128398,
428,25,10,0.00167199,0.00163733,0.00174994,0.00170711,0.0016409,0.00165307,
546,25,10,0.00369953,0.00327762,0.00349324,0.00384382,0.00329211,0.00332727,
695,25,10,0.00677833,0.00643761,0.00699829,0.0071451,0.00645012,0.0076508,
886,25,10,0.0138201,0.0138919,0.0140249,0.0133101,0.0137045,0.0135347,
1129,25,10,0.027258,0.0266839,0.0279163,0.0272043,0.026716,0.0267625,
1438,25,10,0.0550226,0.0533553,0.055534,0.0541548,0.0540729,0.0540852,
1833,25,10,0.112932,0.111776,0.114151,0.111089,0.111279,0.112011,
2336,25,10,0.230611,0.224898,0.234801,0.225556,0.226285,0.229248,
2976,25,10,0.483999,0.461735,0.486572,0.462547,0.461872,0.481586,
3793,25,10,0.995076,0.950288,1.00699,0.950713,0.94742,0.997897,
4833,25,10,2.05755,1.95169,2.07375,1.95209,1.95271,2.05703,
6158,25,10,4.23333,4.01427,4.26744,4.01816,4.01979,4.23498,
7848,25,10,8.86383,8.11952,9.093,8.26322,8.27716,9.04981,
10000,25,10,19.0714,17.0637,19.1835,17.0869,16.8883,19.0176,
100,25,25,6.0658e-05,5.6806e-05,6.3038e-05,6.0766e-05,5.7866e-05,5.7765e-05,
127,25,25,0.000114339,0.000110009,0.000119211,0.000224764,0.000111776,0.000111763,
162,25,25,0.000224362,0.000406917,0.000230985,0.000227072,0.000212753,0.00021303,
207,25,25,0.000678341,0.000418835,0.000435067,0.000738207,0.000416451,0.000415468,
264,25,25,0.00103013,0.000823311,0.000862486,0.000852449,0.000829745,0.000826076,
336,25,25,0.00168335,0.00162702,0.00171767,0.00169232,0.00163364,0.00164918,
428,25,25,0.0038429,0.00361666,0.00348085,0.0033943,0.00331659,0.00333948,
546,25,25,0.00721005,0.00671097,0.00701882,0.00687407,0.00674707,0.00688437,
695,25,25,0.0142531,0.0138896,0.0142516,0.0139407,0.0138193,0.0138795,
886,25,25,0.0293693,0.0286561,0.0291472,0.0284549,0.0286616,0.0285118,
1129,25,25,0.0597944,0.0582775,0.0598378,0.0583945,0.0580917,0.0585237,
1438,25,25,0.123153,0.118491,0.122786,0.119099,0.119191,0.121037,
1833,25,25,0.256062,0.243807,0.256446,0.245637,0.24581,0.253243,
2336,25,25,0.528813,0.502201,0.531363,0.503472,0.50558,0.525293,
2976,25,25,1.09333,1.03768,1.09685,1.03638,1.03871,1.08755,
3793,25,25,2.25223,2.14916,2.26928,2.14395,2.14994,2.24872,
4833,25,25,4.76692,4.43604,4.77867,4.4286,4.43934,4.76526,
6158,25,25,10.1192,9.1822,9.95763,8.97986,9.19277,10.0867,
7848,25,25,21.3391,18.9012,21.419,18.9146,18.5966,21.3142,
10000,25,25,44.9465,39.1177,44.5927,38.782,38.8482,44.7975,
100,25,50,8.6329e-05,8.1756e-05,8.7973e-05,8.5633e-05,8.426e-05,8.0864e-05,
127,25,50,0.000233978,0.000159508,0.000171827,0.000165909,0.000161554,0.000159409,
162,25,50,0.000383376,0.000326942,0.000333731,0.000329189,0.000332187,0.000316574,
207,25,50,0.000676496,0.000651557,0.000714819,0.000675615,0.00105013,0.000648261,
264,25,50,0.00150263,0.00127743,0.00136384,0.00130512,0.00129551,0.00128914,
336,25,50,0.0028897,0.00290083,0.00273538,0.002663,0.00263891,0.00263822,
428,25,50,0.00573972,0.00546818,0.00560784,0.00551234,0.00558367,0.00544091,
546,25,50,0.0114903,0.0112049,0.0114614,0.0111189,0.0110741,0.0111945,
695,25,50,0.023457,0.0226066,0.0234388,0.0225538,0.0226636,0.0228344,
886,25,50,0.0479153,0.0462862,0.0478138,0.0463647,0.0467414,0.0469421,
